English,Spanish,French,German,Italian
highly,altamente,hautement,hochst,altamente
publishing,publicacion / edicion,publication / edition,Veroffentlichung / Verlagswesen,pubblicazione / editoria
appear,aparecer,apparaitre,erscheinen,apparire
emergency,emergencia,urgence,Notfall,emergenza
developing,desarrollando / en desarrollo,developpant / en developpement,entwickelnd / in Entwicklung,sviluppando / in sviluppo
lives,vidas / vive,vies / vit,Leben / lebt,vite / vive
currency,moneda,monnaie / devise,Wahrung,valuta
leather,cuero,cuir,Leder,pelle
determine,determinar,determiner,bestimmen,determinare
temperature,temperatura,temperature,Temperatur,temperatura
palm,palma,paume / palmier,Palme / Handflache,palma
announcements,anuncios / comunicados,annonces,Ankundigungen,annunci
patient,paciente,patient,Patient,paziente
actual,real / actual,reel / actuel,tatsachlich / aktuell,reale / attuale
historical,historico,historique,historisch,storico
stone,piedra,pierre,Stein,pietra
bob,Bob,Bob,Bob,Bob
commerce,comercio,commerce,Handel,commercio
ringtones,tonos de llamada,sonneries,Klingeltone,suonerie
perhaps,quizas / tal vez,peut-etre,vielleicht,forse
persons,personas,personnes,Personen,persone
difficult,dificil,difficile,schwierig,difficile
scientific,cientifico,scientifique,wissenschaftlich,scientifico
satellite,satelite,satellite,Satellit,satellite
fit,ajustar / en forma,ajuster / en forme,passen / fit,adattare / in forma
tests,pruebas,tests,Tests,test
village,pueblo / aldea,village,Dorf,villaggio
accounts,cuentas,comptes,Konten,conti
amateur,aficionado,amateur,Amateur,dilettante / amatore
met,conocio / cumplio,a rencontre / satisfait,traf / entsprochen,ha incontrato / soddisfatto
pain,dolor,douleur,Schmerz,dolore
xbox,Xbox,Xbox,Xbox,Xbox
particularly,particularmente,particulierement,besonders,particolarmente
factors,factores,facteurs,Faktoren,fattori
coffee,cafe,cafe,Kaffee,caffe
www,www,www,www,www
settings,configuraciones / ajustes,parametres / reglages,Einstellungen,impostazioni
buyer,comprador,acheteur,Kaufer,acquirente
cultural,cultural,culturel,kulturell,culturale
steve,Steve,Steve,Steve,Steve
easily,facilmente,facilement,leicht,facilmente
oral,oral,oral,mundlich / oral,orale
ford,Ford,Ford,Ford,Ford
poster,poster / cartel,affiche / poster,Poster / Plakat,poster / manifesto
edge,borde,bord,Rand,bordo
functional,funcional,fonctionnel,funktional,funzionale
root,raiz,racine,Wurzel,radice
closed,cerrado,ferme,geschlossen,chiuso
holidays,vacaciones / festivos,vacances / jours feries,Feiertage / Urlaub,vacanze / festivita
ice,hielo,glace,Eis,ghiaccio
pink,rosa,rose,rosa,rosa
zealand,Zelanda,Zelande,Seeland / Zeeland,Zelanda
balance,equilibrio / saldo,equilibre / solde,Gleichgewicht / Saldo,equilibrio / saldo
monitoring,monitoreo / supervision,surveillance / suivi,Uberwachung,monitoraggio
graduate,graduado / graduarse,diplome / obtenir son diplome,Absolvent / absolvieren,laureato / laurearsi
replies,respuestas / contestaciones,reponses,Antworten,risposte
shot,disparo / toma,coup / prise,Schuss / Aufnahme,colpo / scatto
architecture,arquitectura,architecture,Architektur,architettura
initial,inicial,initial,anfanglich / Initiale,iniziale
label,etiqueta,etiquette,Etikett,etichetta
thinking,pensamiento / pensando,pensee / pensant,Denken / denkend,pensiero / pensando
scott,Scott,Scott,Scott,Scott
llc,LLC,LLC,LLC,LLC
sec,seg. / sec,sec.,Sek.,sec.
recommend,recomendar,recommander,empfehlen,raccomandare
canon,canon,canon,Kanon,canone
league,liga,ligue,Liga,lega
waste,desperdicio / residuos,dechet / gaspiller,Abfall / verschwenden,rifiuto / spreco
minute,minuto,minute,Minute,minuto
bus,autobus,bus,Bus,autobus
provider,proveedor,fournisseur,Anbieter,fornitore
optional,opcional,optionnel,optional,opzionale
dictionary,diccionario,dictionnaire,Worterbuch,dizionario
cold,frio,froid,kalt,freddo
accounting,contabilidad,comptabilite,Buchhaltung,contabilita
manufacturing,fabricacion / manufactura,fabrication,Fertigung / Herstellung,fabbricazione / produzione
sections,secciones,sections,Abschnitte,sezioni
chair,silla / presidente,chaise / president,Stuhl / Vorsitz,sedia / presidente
fishing,pesca,peche,Angeln / Fischerei,pesca
effort,esfuerzo,effort,Anstrengung,sforzo
phase,fase,phase,Phase,fase
fields,campos,champs,Felder,campi
bag,bolsa / bolso,sac,Tasche,borsa / sacchetto
fantasy,fantasia,fantaisie,Fantasie,fantasia
letters,cartas / letras,lettres,Briefe / Buchstaben,lettere
motor,motor,moteur,Motor,motore
professor,profesor,professeur,Professor,professore
context,contexto,contexte,Kontext,contesto
install,instalar,installer,installieren,installare
shirt,camisa,chemise,Hemd,camicia
apparel,ropa / vestimenta,vetements / habillement,Bekleidung,abbigliamento
generally,generalmente,generalement,allgemein,generalmente
continued,continuado / continuo,continue,fortgesetzt,continuato
foot,pie,pied,Fuss,piede
mass,masa,masse,Masse,massa
crime,crimen / delito,crime,Verbrechen,crimine
count,contar / cuenta,compter / compte,zahlen / Anzahl,contare / conteggio
breast,pecho / mama,sein / poitrine,Brust,seno / petto
techniques,tecnicas,techniques,Techniken,tecniche
johnson,Johnson,Johnson,Johnson,Johnson
quickly,rapidamente,rapidement,schnell,rapidamente
dollars,dolares,dollars,Dollar,dollari
websites,sitios web,sites web,Websites,siti web
religion,religion,religion,Religion,religione
claim,reclamo / afirmar,reclamation / pretendre,Anspruch / behaupten,reclamo / affermare
driving,conduccion / conduciendo,conduite / conduisant,Fahren / fahrend,guida / guidando
permission,permiso,permission,Erlaubnis,permesso
surgery,cirugia,chirurgie,Chirurgie / Operation,chirurgia
patch,parche,patch,Patch,patch / toppa
heat,calor,chaleur,Hitze,calore
wild,salvaje,sauvage,wild,selvaggio
measures,medidas,mesures,Massnahmen,misure
generation,generacion,generation,Generation,generazione
kansas,Kansas,Kansas,Kansas,Kansas
miss,perder / senorita,manquer / Mlle,verpassen / Frl.,mancare / signorina
chemical,quimico,chimique,chemisch,chimico
doctor,doctor / medico,docteur / medecin,Arzt / Doktor,dottore / medico
task,tarea,tache,Aufgabe,compito
reduce,reducir,reduire,reduzieren,ridurre
brought,trajo / llevado,a apporte / amene,brachte,ha portato
himself,si mismo,lui-meme,sich selbst,se stesso
nor,ni,ni,noch,ne
component,componente,composant,Komponente,componente
enable,habilitar / permitir,activer / permettre,ermoglichen / aktivieren,abilitare / consentire
exercise,ejercicio / ejercitar,exercice,Ubung / Bewegung,esercizio
bug,error / insecto,bogue / insecte,Fehler / Wanze,bug / insetto
santa,Santa,Santa,Santa,Santa
mid,medio / mitad,milieu,Mitte,mezzo / meta
guarantee,garantia / garantizar,garantie / garantir,Garantie / garantieren,garanzia / garantire
leader,lider,chef / leader,Fuhrer / Leiter,leader / capo
diamond,diamante,diamant,Diamant,diamante
israel,Israel,Israel,Israel,Israele
processes,procesos,processus,Prozesse,processi
soft,suave,doux / souple,weich,morbido
servers,servidores,serveurs,Server,server
alone,solo / solo,seul,allein,solo
meetings,reuniones,reunions,Besprechungen,riunioni
seconds,segundos,secondes,Sekunden,secondi
jones,Jones,Jones,Jones,Jones
arizona,Arizona,Arizona,Arizona,Arizona
keyword,palabra clave,mot-cle,Schlusselwort,parola chiave
interests,intereses,interets,Interessen,interessi
flight,vuelo,vol,Flug,volo
congress,congreso,congres,Kongress,congresso
fuel,combustible,carburant,Kraftstoff,carburante
username,nombre de usuario,nom d'utilisateur,Benutzername,nome utente
walk,caminar / paseo,marcher / promenade,gehen / Spaziergang,camminare / passeggiata
produced,producido,produit,produziert,prodotto
italian,italiano,italien,italienisch,italiano
paperback,libro de bolsillo,livre de poche,Taschenbuch,tascabile
classifieds,clasificados,petites annonces,Kleinanzeigen,annunci economici
wait,esperar,attendre,warten,aspettare
supported,respaldado / compatible,pris en charge / soutenu,unterstutzt,supportato
pocket,bolsillo,poche,Tasche,tasca
saint,santo,saint,heilig / Sankt,santo
rose,rosa / subio,rose / s'est eleve,Rose / stieg,rosa / e salito
freedom,libertad,liberte,Freiheit,liberta
argument,argumento / discusion,argument / dispute,Argument / Streit,argomento / discussione
competition,competencia,concurrence / competition,Wettbewerb,concorrenza / competizione
creating,creando,creant,erstellend,creando
jim,Jim,Jim,Jim,Jim
drugs,drogas / medicamentos,drogues / medicaments,Drogen / Medikamente,droghe / farmaci
joint,articulacion / conjunto,joint / articulation,Gelenk / gemeinsam,articolazione / congiunto
premium,premium / prima,premium / prime,Premium / Pramie,premium / premio
providers,proveedores,fournisseurs,Anbieter,fornitori
fresh,fresco,frais,frisch,fresco
characters,caracteres / personajes,caracteres / personnages,Zeichen / Figuren,caratteri / personaggi
attorney,abogado,avocat,Anwalt,avvocato
upgrade,actualizacion / mejorar,mise a niveau,Upgrade / aktualisieren,aggiornamento / migliorare
factor,factor,facteur,Faktor,fattore
growing,creciendo,croissant,wachsend,crescendo
thousands,miles,milliers,Tausende,migliaia
stream,flujo / transmision,flux / diffusion,Strom / Stream,flusso / streaming
apartments,apartamentos,appartements,Wohnungen,appartamenti
pick,elegir / recoger,choisir / ramasser,wahlen / holen,scegliere / raccogliere
hearing,audiencia / oido,audition / audience,Anhorung / Horen,udienza / udito
eastern,oriental / del este,oriental / de l'est,ostlich,orientale / dell'est
auctions,subastas,encheres,Auktionen,aste
therapy,terapia,therapie,Therapie,terapia
entries,entradas / registros,entrees / inscriptions,Eintrage,voci / registrazioni
dates,fechas / citas,dates / rendez-vous,Daten / Termine,date / appuntamenti
generated,generado,genere,erzeugt,generato
signed,firmado,signe,unterzeichnet,firmato
upper,superior,superieur,oberer,superiore
administrative,administrativo,administratif,administrativ,amministrativo
serious,serio,serieux,ernst,serio
prime,principal / primo,principal / premier,erstklassig / Primzahl,principale / primo
samsung,Samsung,Samsung,Samsung,Samsung
limit,limite / limitar,limite / limiter,Grenze / begrenzen,limite / limitare
began,comenzo,a commence,begann,ha iniziato
louis,Louis,Louis,Louis,Louis
steps,pasos,etapes / pas,Schritte,passi
errors,errores,erreurs,Fehler,errori
shops,tiendas,boutiques,Geschaften,negozi
del,del,del,del,del
efforts,esfuerzos,efforts,Bemuhungen,sforzi
informed,informado,informe,informiert,informato
thoughts,pensamientos,pensees,Gedanken,pensieri
creek,arroyo,ruisseau,Bach,ruscello
worked,trabajo / funciono,a travaille / fonctionne,arbeitete / funktionierte,ha lavorato / ha funzionato
quantity,cantidad,quantite,Menge,quantita
urban,urbano,urbain,urban,urbano
practices,practicas,pratiques,Praktiken,pratiche
sorted,ordenado / clasificado,trie,sortiert,ordinato / classificato
reporting,informes / reporte,rapport / compte rendu,Berichterstattung,reporting / relazione
essential,esencial,essentiel,wesentlich,essenziale
myself,yo mismo,moi-meme,mich selbst,me stesso
tours,recorridos / giras,visites / tours,Touren,tour / visite
platform,plataforma,plateforme,Plattform,piattaforma
load,carga / cargar,charge / charger,Ladung / laden,carico / caricare
affiliate,afiliado,affilie,Partner / Affiliate,affiliato
labor,trabajo / mano de obra,travail / main-d'oeuvre,Arbeit,lavoro / manodopera
immediately,inmediatamente,immediatement,sofort,immediatamente
admin,admin / administrador,admin / administrateur,Admin / Administrator,admin / amministratore
nursing,enfermeria,soins infirmiers,Krankenpflege,infermieristica
defense,defensa,defense,Verteidigung,difesa
machines,maquinas,machines,Maschinen,macchine
designated,designado,designe,bestimmt / benannt,designato
tags,etiquetas,etiquettes / tags,Tags / Markierungen,tag / etichette
heavy,pesado,lourd,schwer,pesante
covered,cubierto,couvert,abgedeckt,coperto
recovery,recuperacion,recuperation,Wiederherstellung,recupero
joe,Joe,Joe,Joe,Joe
guys,chicos / tipos,gars,Typen / Leute,ragazzi / tipi
integrated,integrado,integre,integriert,integrato
configuration,configuracion,configuration,Konfiguration,configurazione
merchant,comerciante,marchand,Handler,mercante
comprehensive,integral / exhaustivo,complet / exhaustif,umfassend,completo / esaustivo
expert,experto,expert,Experte,esperto
universal,universal,universel,universell,universale
protect,proteger,proteger,schutzen,proteggere
drop,caer / gota,tomber / goutte,fallen / Tropfen,cadere / goccia
solid,solido,solide,solide / fest,solido
cds,CD,CD,CDs,CD
presentation,presentacion,presentation,Prasentation,presentazione
languages,idiomas,langues,Sprachen,lingue
became,se convirtio,est devenu,wurde,e diventato
orange,naranja,orange,Orange,arancione / arancia
compliance,cumplimiento,conformite,Einhaltung / Compliance,conformita
vehicles,vehiculos,vehicules,Fahrzeuge,veicoli
prevent,prevenir,prevenir / empecher,verhindern,prevenire
theme,tema,theme,Thema,tema
rich,rico,riche,reich,ricco
campaign,campana,campagne,Kampagne,campagna
marine,marino,marin / marine,Marine- / Meer-,marino
improvement,mejora,amelioration,Verbesserung,miglioramento
guitar,guitarra,guitare,Gitarre,chitarra
finding,hallazgo / encontrando,trouvaille / trouvant,Befund / Finden,scoperta / trovando
pennsylvania,Pensilvania,Pennsylvanie,Pennsylvania,Pennsylvania
examples,ejemplos,exemples,Beispiele,esempi
ipod,iPod,iPod,iPod,iPod
saying,diciendo / dicho,disant / expression,sagend / Spruch,dicendo / detto
spirit,espiritu,esprit,Geist,spirito
claims,reclamaciones / afirma,reclamations / revendications,Anspruche / Behauptungen,reclami / afferma
challenge,desafio,defi,Herausforderung,sfida
motorola,Motorola,Motorola,Motorola,Motorola
acceptance,aceptacion,acceptation,Akzeptanz,accettazione
strategies,estrategias,strategies,Strategien,strategie
seem,parecer,sembler,scheinen,sembrare
affairs,asuntos,affaires,Angelegenheiten,affari
touch,tocar / contacto,toucher / contact,beruhren / Kontakt,toccare / contatto
intended,previsto / intencionado,prevu / destine,beabsichtigt,previsto / intenzionato
towards,hacia,vers,zu / in Richtung,verso
goals,metas / objetivos,objectifs,Ziele,obiettivi
hire,contratar,embaucher,einstellen,assumere
election,eleccion,election,Wahl,elezione
suggest,sugerir,suggerer,vorschlagen,suggerire
branch,rama / sucursal,branche,Zweig / Filiale,ramo / filiale
charges,cargos / cobra,frais / accuse,Gebuhren / Anklagen,addebiti / accuse
serve,servir,servir,dienen / servieren,servire
affiliates,afiliados,affilies,Partner / Affiliates,affiliati
reasons,razones,raisons,Grunde,ragioni
magic,magia,magie,Magie,magia
mount,montar / monte,monter / mont,montieren / Berg,montare / monte
smart,inteligente,intelligent,klug / smart,intelligente
talking,hablando,parlant,sprechend,parlando
gave,dio,a donne,gab,ha dato
ones,unos / los,des / ceux,welche / diejenigen,quelli / alcuni
latin,latin / latino,latin,lateinisch,latino
multimedia,multimedia,multimedia,Multimedia,multimedia
avoid,evitar,eviter,vermeiden,evitare
certified,certificado,certifie,zertifiziert,certificato
manage,gestionar / administrar,gerer,verwalten / leiten,gestire / amministrare
corner,esquina,coin,Ecke,angolo
rank,rango / clasificar,rang / classer,Rang / einstufen,rango / classificare
computing,informatica / computacion,informatique,Informatik / Rechnen,informatica / calcolo
oregon,Oregon,Oregon,Oregon,Oregon
element,elemento,element,Element,elemento
birth,nacimiento,naissance,Geburt,nascita
virus,virus,virus,Virus,virus
abuse,abuso,abus,Missbrauch,abuso
interactive,interactivo,interactif,interaktiv,interattivo
requests,solicitudes / peticiones,demandes / requetes,Anfragen,richieste
separate,separado / separar,separe / separer,getrennt / trennen,separato / separare
quarter,trimestre / cuarto,trimestre / quart,Quartal / Viertel,trimestre / quarto
procedure,procedimiento,procedure,Verfahren,procedura
leadership,liderazgo,leadership / direction,Fuhrung,leadership / guida
tables,tablas / mesas,tables,Tabellen / Tische,tabelle / tavoli
define,definir,definir,definieren,definire
racing,carreras,course / competition,Rennen,corse / gare
religious,religioso,religieux,religios,religioso
facts,hechos,faits,Fakten,fatti
breakfast,desayuno,petit-dejeuner,Fruhstuck,colazione
kong,Kong,Kong,Kong,Kong
column,columna,colonne,Spalte / Kolumne,colonna
plants,plantas,plantes,Pflanzen,piante
faith,fe,foi,Glaube,fede
chain,cadena,chaine,Kette,catena
developer,desarrollador,developpeur,Entwickler,sviluppatore
identify,identificar,identifier,identifizieren,identificare
avenue,avenida,avenue,Allee / Avenue,viale / avenue
missing,faltante / perdido,manquant,fehlend,mancante
died,murio,est mort,starb,e morto
approximately,aproximadamente,approximativement,ungefahr,approssimativamente
domestic,domestico,domestique,hauslich / inlandisch,domestico
sitemap,mapa del sitio,plan du site,Sitemap,mappa del sito
recommendations,recomendaciones,recommandations,Empfehlungen,raccomandazioni
moved,movido / se mudo,deplace / a demenage,bewegt / zog um,spostato / si e trasferito
houston,Houston,Houston,Houston,Houston
reach,alcanzar,atteindre,erreichen,raggiungere
comparison,comparacion,comparaison,Vergleich,confronto / comparazione
mental,mental,mental,geistig / mental,mentale
viewed,visto / visualizado,vu / consulte,angesehen,visto / visualizzato
moment,momento,moment,Moment,momento
extended,extendido,etendu / prolonge,erweitert / verlangert,esteso / prolungato
sequence,secuencia,sequence,Sequenz,sequenza
inch,pulgada,pouce,Zoll,pollice
attack,ataque / atacar,attaque / attaquer,Angriff / angreifen,attacco / attaccare
sorry,lo siento,desole,entschuldigung / tut mir leid,mi dispiace
centers,centros,centres,Zentren,centri
opening,apertura / abriendo,ouverture,Offnung / Eroffnung,apertura
damage,dano / danar,dommage / endommager,Schaden / beschadigen,danno / danneggiare
lab,laboratorio,laboratoire / labo,Labor,laboratorio
reserve,reserva / reservar,reserve / reserver,Reserve / reservieren,riserva / riservare
recipes,recetas,recettes,Rezepte,ricette
cvs,CVs / curriculums,CV,Lebenslaufe / CVs,CV / curricula
gamma,gamma,gamma,Gamma,gamma
plastic,plastico,plastique,Kunststoff / Plastik,plastica
produce,producir / productos,produire / produits,produzieren / Erzeugnisse,produrre / prodotti
snow,nieve,neige,Schnee,neve
placed,colocado,place,platziert,collocato
truth,verdad,verite,Wahrheit,verita
counter,contador / mostrador,compteur / comptoir,Zahler / Theke,contatore / bancone
failure,fallo / fracaso,echec / panne,Fehler / Scheitern,guasto / fallimento
follows,sigue,suit,folgt,segue
weekend,fin de semana,week-end,Wochenende,fine settimana
dollar,dolar,dollar,Dollar,dollaro
camp,campamento,camp,Lager,campo / campeggio
ontario,Ontario,Ontario,Ontario,Ontario
automatically,automaticamente,automatiquement,automatisch,automaticamente
des,des,des,des,des
minnesota,Minnesota,Minnesota,Minnesota,Minnesota
films,peliculas,films,Filme,film
bridge,puente,pont,Brucke,ponte
native,nativo,natif,einheimisch / nativ,nativo
fill,llenar,remplir,fullen,riempire
williams,Williams,Williams,Williams,Williams
movement,movimiento,mouvement,Bewegung,movimento
printing,impresion,impression,Druck,stampa
baseball,beisbol,base-ball,Baseball,baseball
owned,poseido / propiedad de,possede,im Besitz / gehorte,posseduto / di proprieta
approval,aprobacion,approbation,Genehmigung,approvazione
draft,borrador,brouillon,Entwurf,bozza
chart,grafico,graphique,Diagramm / Tabelle,grafico
played,jugado / tocado,joue,gespielt,giocato / suonato
contacts,contactos,contacts,Kontakte,contatti
jesus,Jesus,Jesus,Jesus,Gesu / Jesus
readers,lectores,lecteurs,Leser,lettori
clubs,clubes,clubs,Clubs,club
jackson,Jackson,Jackson,Jackson,Jackson
equal,igual,egal,gleich,uguale
adventure,aventura,aventure,Abenteuer,avventura
matching,coincidente / emparejando,correspondant,passend,corrispondente / abbinando
offering,oferta / ofreciendo,offre,Angebot,offerta
shirts,camisas,chemises,Hemden,camicie
profit,ganancia / beneficio,profit / benefice,Gewinn,profitto / guadagno
leaders,lideres,dirigeants / leaders,Fuhrer / Leiter,leader / dirigenti
posters,posteres / carteles,posters / affiches,Poster / Plakate,poster / manifesti
institutions,instituciones,institutions,Institutionen,istituzioni
assistant,asistente,assistant,Assistent,assistente
variable,variable,variable,Variable,variabile
ave,ave / av.,ave / av.,Ave / Allee,uccello / viale
advertisement,anuncio / publicidad,publicite,Werbung / Anzeige,pubblicita / annuncio
expect,esperar,s'attendre a / esperer,erwarten,aspettarsi / aspettare
parking,estacionamiento,parking,Parkplatz,parcheggio
headlines,titulares,gros titres,Schlagzeilen,titoli
yesterday,ayer,hier,gestern,ieri
compared,comparado,compare,verglichen,confrontato
determined,determinado,determine,bestimmt,determinato
wholesale,al por mayor,de gros,Grosshandel,all'ingrosso
workshop,taller,atelier,Werkstatt / Workshop,laboratorio / workshop
russia,Rusia,Russie,Russland,Russia
gone,ido / desaparecido,parti / disparu,weg / gegangen,andato / sparito
codes,codigos,codes,Codes,codici
kinds,tipos / clases,sortes / types,Arten,tipi / generi
extension,extension,extension,Erweiterung,estensione
seattle,Seattle,Seattle,Seattle,Seattle
statements,declaraciones,declarations,Aussagen / Erklarungen,dichiarazioni
golden,dorado,dore,golden,dorato
completely,completamente,completement,vollstandig,completamente
teams,equipos,equipes,Teams,squadre
fort,fuerte / fortin,fort,Fort / stark,forte
lighting,iluminacion,eclairage,Beleuchtung,illuminazione
senate,senado,senat,Senat,senato
forces,fuerzas,forces,Krafte,forze
funny,gracioso / divertido,drole,lustig,divertente
brother,hermano,frere,Bruder,fratello
gene,gen,gene,Gen,gene
turned,girado / convertido,tourne / devenu,gedreht / wurde,girato / diventato
portable,portatil,portable,tragbar,portatile
tried,intento / probado,a essaye,versuchte,ha provato
electrical,electrico,electrique,elektrisch,elettrico
applicable,aplicable,applicable,anwendbar,applicabile
disc,disco,disque,Scheibe / Disk,disco
returned,devuelto / regreso,retourne,zuruckgegeben / zuruckgekehrt,restituito / tornato
pattern,patron,motif,Muster,modello / schema
boat,barco,bateau,Boot,barca
named,llamado / nombrado,nomme,genannt,chiamato / nominato
theatre,teatro,theatre,Theater,teatro
laser,laser,laser,Laser,laser
earlier,antes / anterior,plus tot / precedent,fruher,prima / precedente
manufacturers,fabricantes,fabricants,Hersteller,produttori / fabbricanti
sponsor,patrocinador / patrocinar,sponsor / parrainer,Sponsor / sponsern,sponsor / sponsorizzare
classical,clasico,classique,klassisch,classico
icon,icono,icone,Symbol / Ikone,icona
warranty,garantia,garantie,Garantie,garanzia
dedicated,dedicado,dedie,gewidmet,dedicato
indiana,Indiana,Indiana,Indiana,Indiana
direction,direccion,direction,Richtung,direzione
harry,Harry,Harry,Harry,Harry
basketball,baloncesto / basquetbol,basket-ball,Basketball,basket / pallacanestro
objects,objetos,objets,Objekte,oggetti
ends,termina / fines,finit / fins,endet / Enden,finisce / fini
delete,eliminar / borrar,supprimer / effacer,loschen,eliminare / cancellare
evening,noche / tarde,soir,Abend,sera
assembly,asamblea / ensamblaje,assemblee / assemblage,Versammlung / Montage,assemblea / assemblaggio
nuclear,nuclear,nucleaire,nuklear,nucleare
taxes,impuestos,impots,Steuern,tasse
mouse,raton,souris,Maus,mouse / topo
signal,senal,signal,Signal,segnale
criminal,criminal,criminel,kriminell / Verbrecher,criminale
issued,emitido,emis,ausgestellt / ausgegeben,emesso
brain,cerebro,cerveau,Gehirn,cervello
sexual,sexual,sexuel,sexuell,sessuale
wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin
powerful,poderoso,puissant,machtig,potente
dream,sueno / sonar,reve / rever,Traum / traumen,sogno / sognare
obtained,obtenido,obtenu,erhalten,ottenuto
false,falso,faux,falsch,falso
cast,elenco / lanzar / molde,distribution / lancer / moule,Besetzung / werfen / Guss,cast / lanciare / stampo
flower,flor,fleur,Blume,fiore
felt,sintio / fieltro,a ressenti / feutre,fuhlte / Filz,ha sentito / feltro
personnel,personal,personnel,Personal,personale
passed,paso / aprobado,passe,bestand / ging vorbei,e passato / approvato
supplied,suministrado,fourni,geliefert,fornito
identified,identificado,identifie,identifiziert,identificato
falls,cae / cataratas,tombe / chutes,fallt / Falle,cade / cascate
pic,foto,photo / pic,Bild,foto
soul,alma,ame,Seele,anima
opinions,opiniones,opinions,Meinungen,opinioni
promote,promover,promouvoir,fordern / bewerben,promuovere
stated,declarado,declare,angegeben / erklart,dichiarato
stats,estadisticas,stats / statistiques,Statistiken,statistiche
hawaii,Hawai,Hawaii,Hawaii,Hawaii
professionals,profesionales,professionnels,Fachleute,professionisti
appears,aparece,apparait,erscheint,appare
carry,llevar / cargar,porter,tragen,portare
flag,bandera,drapeau,Flagge,bandiera
decided,decidido,decide,entschieden,deciso
covers,cubre / portadas,couvre / couvertures,deckt ab / Cover,copre / copertine
advantage,ventaja,avantage,Vorteil,vantaggio
hello,hola,bonjour / salut,hallo,ciao / salve
designs,disenos,dessins / conceptions,Designs / Entwurfe,design / progetti
maintain,mantener,maintenir,aufrechterhalten / pflegen,mantenere
tourism,turismo,tourisme,Tourismus,turismo
priority,prioridad,priorite,Prioritat,priorita
newsletters,boletines informativos,bulletins d'information,Newsletter,newsletter
adults,adultos,adultes,Erwachsene,adulti
clips,clips / recortes,clips,Clips,clip
savings,ahorros,economies,Ersparnisse,risparmi
graphic,grafico,graphique,grafisch,grafico
atom,atomo,atome,Atom,atomo
payments,pagos,paiements,Zahlungen,pagamenti
estimated,estimado,estime,geschatzt,stimato
binding,vinculante / encuadernacion,contraignant / reliure,bindend / Bindung,vincolante / rilegatura
brief,breve / informe,bref / dossier,kurz / Bericht,breve / rapporto
ended,termino / finalizado,termine,endete / beendet,terminato
winning,ganando / ganador,gagnant,gewinnend,vincente / vincendo
eight,ocho,huit,acht,otto
anonymous,anonimo,anonyme,anonym,anonimo
iron,hierro,fer,Eisen,ferro
straight,recto / directo,droit / direct,gerade / direkt,dritto / diretto
script,guion / script,script,Skript,copione / script
served,servido,servi,gedient / serviert,servito
wants,quiere,veut,will,vuole
miscellaneous,miscelaneo / varios,divers,Verschiedenes,vario / miscellaneo
prepared,preparado,prepare,vorbereitet,preparato
void,vacio / nulo,vide / nul,leer / ungultig,vuoto / nullo
dining,comedor / cenar,salle a manger / diner,Esszimmer / speisend,sala da pranzo / cenare
alert,alerta / alertar,alerte / alerter,Alarm / warnen,allerta / allertare
integration,integracion,integration,Integration,integrazione
atlanta,Atlanta,Atlanta,Atlanta,Atlanta
dakota,Dakota,Dakota,Dakota,Dakota
tag,etiqueta,etiquette / tag,Tag / Markierung,tag / etichetta
interview,entrevista,entretien / interview,Interview,intervista
mix,mezcla / mezclar,melange / melanger,Mischung / mischen,miscela / mescolare
framework,marco / estructura,cadre,Rahmen / Gerust,quadro / struttura
disk,disco,disque,Festplatte / Diskette / Disk,disco
installed,instalado,installe,installiert,installato
queen,reina,reine,Konigin,regina
vhs,VHS,VHS,VHS,VHS
credits,creditos,credits,Credits / Guthaben,crediti
clearly,claramente,clairement,klar,chiaramente
fix,arreglar / solucionar,reparer / corriger,reparieren / fixieren,aggiustare / risolvere
handle,manejar / asa,manier / poignee,handhaben / Griff,gestire / maniglia
sweet,dulce,doux / sucre,suss,dolce
desk,escritorio,bureau,Schreibtisch,scrivania
criteria,criterios,criteres,Kriterien,criteri
pubmed,PubMed,PubMed,PubMed,PubMed
dave,Dave,Dave,Dave,Dave
massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
diego,Diego,Diego,Diego,Diego
hong,Hong,Hong,Hong,Hong
vice,vice / vicio,vice,Vize / Laster,vice / vizio
associate,asociado / asociar,associe / associer,Mitarbeiter / verbinden,associato / associare
truck,camion,camion,LKW,camion
behavior,comportamiento,comportement,Verhalten,comportamento
enlarge,ampliar,agrandir,vergrossern,ingrandire
ray,rayo,rayon,Strahl,raggio
frequently,frecuentemente,frequemment,haufig,frequentemente
revenue,ingresos,revenu / recettes,Umsatz / Einnahmen,ricavi / entrate
measure,medida / medir,mesure / mesurer,Mass / messen,misura / misurare
changing,cambiando,changeant,andernd / verandernd,cambiando
votes,votos,votes,Stimmen,voti
duty,deber / servicio,devoir / service,Pflicht / Dienst,dovere / servizio
looked,miro / parecio,a regarde / semblait,sah / wirkte,ha guardato / sembrava
discussions,discusiones,discussions,Diskussionen,discussioni
bear,oso / soportar,ours / supporter,Bar / tragen,orso / sopportare
gain,ganancia / ganar,gain / gagner,Gewinn / gewinnen,guadagno / ottenere
festival,festival,festival,Festival,festival
laboratory,laboratorio,laboratoire,Labor,laboratorio
ocean,oceano,ocean,Ozean,oceano
flights,vuelos,vols,Fluge,voli
experts,expertos,experts,Experten,esperti
